CLE;NATURE;NOM;AGE_MIN;AGE_MAX;NOMBRE_JEUX;X_LONG;Y_LAT;GEOMETRIE;NUM_QUARTIER
963;Aire de jeux;Jardin de la Mairie;2,00;6,00;2;-0,580467635372337;44,8381053574816;POLYGON ((-0.580311887167577 44.8381576873459, -0.580454355111832 44.8381440163966, -0.580632046901138 44.8381267146253, -0.580626908894777 44.8380521993394, -0.58041179163502 44.83807437202, -0.580298592151561 44.8380843295188, -0.580311887167577 44.8381576873459));3
968;Aire de jeux;Jardin des Dames de la Foi;1,50;8,00;5;-0,581809575211002;44,8250637051958;POLYGON ((-0.581766176868382 44.8249847003006, -0.581754769256181 44.8249803752481, -0.581737325769495 44.8249766906323, -0.581723085232703 44.8249736258209, -0.581690515590399 44.8249811370609, -0.581681544868467 44.8249956522834, -0.581685875523101 44.8250184865872, -0.581698896163345 44.8250365432514, -0.581728379970747 44.8250506585162, -0.581748983797666 44.8250664946465, -0.58176169475211 44.8250877138886, -0.581768284565668 44.8251326369824, -0.581795349193965 44.825144486292, -0.581825360875386 44.8251487660879, -0.581857755014775 44.8251465751152, -0.581859391715088 44.825146433503, -0.581886164805723 44.8251373031026, -0.581907965256757 44.8251214831064, -0.581922367068468 44.8251006713582, -0.581928081422199 44.825056171596, -0.581902257749683 44.8250439229225, -0.581846533191652 44.8250230670875, -0.581818348409334 44.8250115233018, -0.58177806965575 44.8249907216152, -0.581766176868382 44.8249847003006));5
969;Aire de jeux;Parc du Port de la Lune;2,00;8,00;3;-0,542464593073604;44,8769180696157;POLYGON ((-0.5424928400862 44.8770223024951, -0.542580551061035 44.8768514708593, -0.542436122019451 44.876814184989, -0.542348645943029 44.8769846504956, -0.542474605060751 44.877017173547, -0.5424928400862 44.8770223024951));1
971;Aire de jeux;Jardin des Barrières;3,00;11,00;5;-0,566047983306671;44,8127561958737;POLYGON ((-0.565848447638848 44.812604163413, -0.565805295354292 44.8125980395984, -0.565804831031081 44.8126150793358, -0.565801131805942 44.8127639179154, -0.565797543812767 44.812914554611, -0.565796979042331 44.8129156532805, -0.565923858149961 44.8129025774096, -0.56595044942338 44.8128966992363, -0.565971950226053 44.8128842246276, -0.565981951782806 44.8128720204575, -0.565988025505662 44.8128720101955, -0.565989288546737 44.8128719705967, -0.566039563143007 44.8128704844602, -0.566040826184013 44.8128704448609, -0.566046779165529 44.8128705284615, -0.56607316104791 44.8128776283913, -0.566099909077733 44.812882464827, -0.566127452231917 44.8128858350416, -0.566155086667417 44.8128865900579, -0.566183016568736 44.8128859845986, -0.566209954990568 44.812881626845, -0.56623539114826 44.8128734427324, -0.566257683084536 44.8128614837442, -0.566268973173272 44.8128537431629, -0.566277551329857 44.8128471685757, -0.566296765792003 44.8128325135812, -0.5663133818415 44.8128167690114, -0.566324789950531 44.8127986654839, -0.566333666411347 44.8127805512546, -0.566339818161866 44.8127613514134, -0.566340609514899 44.8127414188442, -0.56633737583741 44.8127218827211, -0.566327865920033 44.8127031739521, -0.566315138873387 44.8126856470194, -0.566299452870218 44.8126693839074, -0.566279451951976 44.8126549676126, -0.566255353086407 44.8126459044632, -0.566238421191156 44.8126442734231, -0.566220075440873 44.8126463800046, -0.566216171770196 44.8126405570981, -0.566215616487241 44.8126397637854, -0.566208936403466 44.8126299743151, -0.566208381120712 44.8126291810024, -0.566203730757419 44.812623561668, -0.566192305743213 44.8126066244616, -0.566183112990041 44.8125930403174, -0.566179495312365 44.8125877489249, -0.566176845206276 44.8125837784004, -0.56612818249837 44.8126092655174, -0.566059322300089 44.8126355660199, -0.565987009618036 44.8126572004638, -0.56586410306188 44.8126097079829, -0.565848447638848 44.812604163413));5
40875;Aire de jeux;Place Calixte Camelle;1,50;8,00;5;-0,549829719336809;44,8430369803828;MULTIPOLYGON (((-0.549815184565498 44.8430179826975, -0.549839330686561 44.8430029969879, -0.549697035211467 44.8428861889582, -0.549637389360518 44.8429230001526, -0.549780629291333 44.8430386978447, -0.549815184565498 44.8430179826975)), ((-0.549844327669222 44.8430614826804, -0.549824718756449 44.8430740748803, -0.549967327580985 44.8431897920452, -0.550023919482621 44.8431547874539, -0.549882288358501 44.8430384993853, -0.549858603394816 44.843052750085, -0.549844327669222 44.8430614826804)));7
40849;Aire de jeux;Square Emile Combes-Jean Gautier;1,50;12,00;4;-0,607728419248386;44,8364815587535;MULTIPOLYGON (((-0.607633360693623 44.8364605323072, -0.607618411948344 44.8364967687951, -0.607661513756735 44.8365057618707, -0.607650730198686 44.8365316870425, -0.607695629121486 44.8365410735464, -0.607720906619355 44.836479737026, -0.607633360693623 44.8364605323072)), ((-0.607779945218844 44.8364339053122, -0.607750577005688 44.8364966326819, -0.607798966252426 44.8365071696444, -0.607828328787845 44.8364443523588, -0.607829325196207 44.8364420687169, -0.607829936917874 44.8364397071884, -0.607829916879181 44.8364373656884, -0.607829512153909 44.8364349463018, -0.607828607650883 44.8364326328417, -0.607827329722195 44.8364304213022, -0.607825672737478 44.8364282217798, -0.607823400883913 44.8364263119967, -0.607820755604794 44.8364245041342, -0.607817874512961 44.8364229739939, -0.607814763238778 44.8364218114794, -0.607811295430174 44.8364210205964, -0.607808097216849 44.8364204914128, -0.607804668821022 44.8364203298549, -0.607801257316315 44.8364204380079, -0.607797994685071 44.8364209017696, -0.607794754575203 44.8364217251457, -0.607791778430011 44.8364227203177, -0.607789077510178 44.8364240670928, -0.607786519833291 44.8364256795732, -0.607784352473073 44.8364274598437, -0.607782581059875 44.8364294978083, -0.607780941628943 44.8364316216707, -0.607779945218844 44.8364339053122)));4
40836;Aire de jeux;Place Simiot;2,00;8,00;5;-0,57750733295014;44,8228859790501;POLYGON ((-0.577744718607405 44.8229177739497, -0.57774478911103 44.8229168709244, -0.577738889609727 44.8228116619277, -0.577737626358774 44.8228117016568, -0.57769933868984 44.8228127256311, -0.577698075438833 44.8228127653598, -0.577280961024416 44.8228260628044, -0.577279697772831 44.8228261025284, -0.57726794953299 44.822826471961, -0.577266686281387 44.8228265116849, -0.577272594036907 44.8229298287228, -0.577272649851247 44.8229307277755, -0.577273488552751 44.8229401598833, -0.577275188282346 44.8229593837201, -0.577295905656138 44.8229587322454, -0.577720361128522 44.8229474559228, -0.577746021929773 44.8229469191392, -0.577745369656787 44.8229262210694, -0.577744718607405 44.8229177739497));5
1015;Aire de jeux;Jardin de Lussy;1,00;12,00;7;-0,606153526358133;44,8402181154232;POLYGON ((-0.606294807381727 44.8402091394856, -0.606294500329072 44.840208066745, -0.606292418588185 44.8401993852393, -0.606290214968587 44.8401907968813, -0.606289257643346 44.8401868592104, -0.606288304839092 44.8401830114705, -0.60628686433056 44.8401770150327, -0.606285297422175 44.8401710218116, -0.606283915687037 44.8401661944788, -0.606282281151598 44.8401613735791, -0.606280141015672 44.8401565655457, -0.606277752600707 44.8401518538766, -0.606275689321939 44.8401485746727, -0.606273373242941 44.8401453019018, -0.606268673458101 44.8401399286815, -0.606263598994576 44.8401346550418, -0.606258416215634 44.8401297443431, -0.606252985158129 44.8401249300085, -0.606249418642716 44.8401219591961, -0.60624573929035 44.8401192613935, -0.606240502448704 44.8401157928091, -0.606235021849155 44.8401125105197, -0.606229681213033 44.8401094948069, -0.606223965898031 44.8401065786746, -0.60621696397826 44.8401032450514, -0.606209835659166 44.8400999146443, -0.606205176755336 44.8400978720906, -0.606200391451709 44.8400958327532, -0.606194197664162 44.8400934690723, -0.606188003877126 44.8400911053911, -0.606182067411621 44.8400888252077, -0.60617600906729 44.8400866381718, -0.606169314202242 44.8400843772866, -0.60616261933785 44.840082116401, -0.606156448157169 44.840080202374, -0.606150407897739 44.8400783750612, -0.606146426205582 44.8400772157346, -0.606142322634233 44.8400761495552, -0.606133226170964 44.8400739497802, -0.606124134229096 44.8400718399354, -0.606116071571041 44.8400700640834, -0.606107896075492 44.8400685612408, -0.606102411146595 44.8400677103027, -0.60609693525909 44.8400670392269, -0.606093888096344 44.8400668466264, -0.606090845454412 44.8400667439571, -0.60608680065352 44.840066846881, -0.606082764893915 44.840067129667, -0.606079117375774 44.8400675826662, -0.606075478898729 44.8400682155276, -0.606072097742508 44.8400689318872, -0.606068982948119 44.8400699116076, -0.606066870312612 44.8400706857349, -0.606064888597746 44.8400715465769, -0.606063037803527 44.8400724941337, -0.606059959173718 44.8400741933031, -0.606057142385262 44.8400760659022, -0.606054343679054 44.8400782982258, -0.606051675893201 44.8400806172641, -0.606050592540035 44.840081725385, -0.606049513707555 44.8400829234371, -0.606048561275008 44.8400841182728, -0.606046787330385 44.840086594659, -0.606045275227162 44.840089244475, -0.606043993320833 44.8400914382024, -0.606042968735258 44.8400937154284, -0.606041181405055 44.8400984433099, -0.606039515954262 44.840103078044, -0.60603786858553 44.8401080725026, -0.606036343095974 44.8401129738137, -0.606035914345683 44.8401145155087, -0.606035481074665 44.8401159672726, -0.606033359925138 44.8401241254033, -0.606031116895508 44.8401323766815, -0.606030272955933 44.8401357298649, -0.606029555416489 44.840139079832, -0.606028233175624 44.8401455067564, -0.606027168255548 44.8401520171793, -0.606026098814662 44.840158437671, -0.606025029373407 44.8401648581627, -0.606024564633758 44.8401682016972, -0.606023973493872 44.8401715484479, -0.606022687592333 44.8401812161102, -0.606021279810584 44.8401909769199, -0.606021288851711 44.8401911567822, -0.606021297892968 44.8401913366445, -0.606021031706558 44.8401935945724, -0.606020896440912 44.8401959392151, -0.606020264967076 44.8402035191628, -0.606019507092559 44.8402111023269, -0.606019543257192 44.8402118217761, -0.606019457542135 44.8402126343729, -0.606018988456957 44.8402184092648, -0.606018519371813 44.8402241841567, -0.606018456259527 44.8402254464091, -0.606018393147247 44.8402267086616, -0.606018298566615 44.8402298626848, -0.606018203986097 44.8402330167079, -0.60602087911529 44.8402711282208, -0.606021208942008 44.8402751719065, -0.606021538768904 44.8402792155923, -0.606021773663431 44.8402813707237, -0.606021886678133 44.8402836190026, -0.60602237002912 44.8402881990589, -0.606022853380191 44.8402927791153, -0.606022903106766 44.840293768358, -0.6060229573538 44.8402948475319, -0.606023567105549 44.8402994243719, -0.606024181377844 44.840304091143, -0.606025080095634 44.8403093809997, -0.606026100693489 44.8403145777089, -0.606026579348403 44.8403165465453, -0.606027179883272 44.8403184222345, -0.606028335746997 44.8403212743009, -0.606029487090254 44.8403240364363, -0.606030317823494 44.8403254560369, -0.606031148556648 44.8403268756375, -0.606032101169891 44.8403282020906, -0.606033988314137 44.8403304952723, -0.606036250139639 44.8403326888738, -0.606037839276733 44.8403340891765, -0.606039676694493 44.8403353931154, -0.606041640512996 44.8403366938379, -0.606043328927203 44.8403375513373, -0.606045143742005 44.8403384056203, -0.606046949515748 44.840339080041, -0.60604964913508 44.8403399118097, -0.606052470634406 44.8403406504307, -0.60605541853448 44.8403413858355, -0.606058361913994 44.840342031309, -0.606063851388618 44.8403429721802, -0.606069340863416 44.8403439130511, -0.606071503236128 44.8403441281666, -0.606073665608725 44.8403443432821, -0.6060786133159 44.8403445775687, -0.606083556502438 44.840344721924, -0.606092549029857 44.8403448532864, -0.606101537036483 44.8403448947168, -0.60611204637133 44.8403449874811, -0.606122429305659 44.8403450834607, -0.606126099444613 44.8403450801159, -0.606129643182898 44.8403450799876, -0.606139899716606 44.8403451791821, -0.606150278130239 44.840345185228, -0.606153821868522 44.8403451850988, -0.606157496528277 44.8403452716843, -0.606160024540757 44.8403452073553, -0.606162552553236 44.8403451430263, -0.606173933130121 44.8403449434763, -0.606185431065934 44.8403445608463, -0.606188843882799 44.8403444740014, -0.606192256699533 44.8403443871564, -0.606202738909279 44.8403439403255, -0.606213099239072 44.8403435866412, -0.606222944924544 44.8403430659599, -0.606232907968686 44.8403423621988, -0.606236934704642 44.8403418995453, -0.606240952398692 44.8403412570293, -0.606243584206815 44.8403407398262, -0.606246080572511 44.8403400459774, -0.606250062098736 44.8403386840119, -0.606254043624895 44.8403373220463, -0.60625764142798 44.8403358797991, -0.606261112830358 44.8403344407683, -0.606263220951858 44.8403335767065, -0.60626532455234 44.8403326227135, -0.606268163951398 44.8403311997654, -0.606271003350313 44.8403297768171, -0.606273833707151 44.8403281740065, -0.606276659542856 44.8403264812647, -0.606279358977771 44.8403247917394, -0.606281927491055 44.8403230154995, -0.606284617883684 44.8403211461118, -0.606287055475033 44.8403192831571, -0.606288761788932 44.8403179790889, -0.606290337181148 44.8403165883061, -0.606293244206285 44.8403139930358, -0.606296024830561 44.840311400982, -0.606297830418447 44.8403095541101, -0.606299509605761 44.8403077104549, -0.606301653705803 44.8403050445529, -0.606303549525763 44.8403024750151, -0.606305309902834 44.8402997288317, -0.606306686557283 44.8402969023669, -0.606307674968024 44.8402939056897, -0.606308505330839 44.840290282711, -0.60630882557076 44.8402865826676, -0.606308893009579 44.8402828890575, -0.606308477263358 44.8402771366808, -0.606307935116714 44.8402713875208, -0.606307474348623 44.8402672571213, -0.606306882659222 44.8402630400073, -0.606305478126834 44.8402552417305, -0.606303951715392 44.8402475366014, -0.606303590410242 44.8402453846872, -0.606303107225689 44.8402433259206, -0.606301626025062 44.8402365201029, -0.606300013903363 44.8402296275706, -0.606299210103227 44.84022622627, -0.606298406303053 44.8402228249694, -0.606295118955382 44.8402103021573, -0.606294807381727 44.8402091394856));8
40851;Aire de jeux;Jardin Saint Julien;3,00;8,00;3;-0,599399085518086;44,8196421534657;POLYGON ((-0.599427830581584 44.8197496714298, -0.599440796146168 44.8197404331399, -0.599540877025262 44.8196689841893, -0.599485339526642 44.819657229291, -0.599423337735801 44.8195055114671, -0.59936595655793 44.8195148940202, -0.599409946365205 44.8195606149204, -0.599294148616138 44.8196134636992, -0.599251726168236 44.8196333628663, -0.599297728523895 44.8196728044792, -0.599426985673376 44.8197503287381, -0.599427830581584 44.8197496714298));4
40856;Aire de jeux;Square Alfred Smith;1,50;8,00;6;-0,612272380436312;44,8245679330357;POLYGON ((-0.612299039428519 44.8245155183399, -0.612204274429395 44.8245605954435, -0.612203941512979 44.8245653803834, -0.612204372186972 44.8245702311637, -0.612205308164001 44.8245750659019, -0.612224949882612 44.8245956117045, -0.612224829192941 44.8245957056186, -0.612224834829055 44.8245957955222, -0.612224840465169 44.8245958854257, -0.612224846101283 44.8245959753292, -0.612224851737397 44.8245960652328, -0.612224983699297 44.8245961511258, -0.612246529261326 44.8246187984617, -0.612247051473115 44.82461905213, -0.612247447359071 44.8246193098089, -0.612247969570869 44.8246195634772, -0.612248480510365 44.8246196373385, -0.612249117775699 44.8246197071891, -0.612249623079042 44.8246196911468, -0.612250254708221 44.8246196710939, -0.612250754375408 44.8246195651481, -0.61225125404259 44.8246194592023, -0.612312364013437 44.8245907645809, -0.612312562630727 44.8245878756361, -0.612334031757458 44.8245729609927, -0.612335353705049 44.824571838033, -0.6123366700163 44.8245706251698, -0.612337728039771 44.8245693304244, -0.612338527775474 44.8245679537967, -0.612339327511135 44.8245665771691, -0.612339742633341 44.82456512267, -0.612340025793526 44.824563582278, -0.612340056302291 44.8245620499074, -0.612339834159656 44.8245605255581, -0.612339491327624 44.824559095123, -0.612338895844225 44.8245576727092, -0.612338174035159 44.8245562543062, -0.612299039428519 44.8245155183399));4
